,Unnamed: 0,date,stock,score1,score2,pred_rate,name
387,2149,2312,2024-01-16,128.5978,128.62308,0.0,三泰控股
388,479,600629,2024-01-16,49.506832,49.516556,0.0,华建集团
389,2224,2389,2024-01-16,116.77874,116.80162,0.0,航天彩虹
390,3411,300707,2024-01-16,39.089706,39.09727,0.0,威唐工业
391,492,600645,2024-01-16,372.26245,372.33426,0.0,中源协和
392,365,600496,2024-01-16,25.740602,25.745565,0.0,精工钢构
393,3248,300537,2024-01-16,31.688322,31.694426,0.0,广信材料
394,1839,988,2024-01-16,220.48349,220.52588,0.0,华工科技
395,2683,2898,2024-01-16,16.196558,16.19966,0.0,赛隆药业
396,2617,2826,2024-01-16,12.820568,12.823014,0.0,易明医药
397,3488,300793,2024-01-16,32.811283,32.817513,0.0,佳禾智能
398,829,601319,2024-01-16,5.5907736,5.591833,0.0,中国人保
